Pos,ID,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,Elite%
G,1,Raya,5.9,5.9,Arsenal,93,8.17,91,3.91,90,3.84,88,3.76,90,4.13,0,0.00,88,3.97,87,5.64,83,1.42,84,3.87,0.67
G,2,Arrizabalaga,4.1,4.1,Arsenal,4,0.34,3,0.14,5,0.22,7,0.28,2,0.11,0,0.00,7,0.33,11,0.71,6,0.10,9,0.42,0.00
G,3,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,4,Setford,3.9,3.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,5,Gabriel,7.1,6.7,Arsenal,89,9.58,86,4.38,83,4.24,81,4.15,82,4.64,0,0.00,83,4.63,81,5.91,83,1.67,81,4.57,0.97
D,6,Saliba,6.1,6.1,Arsenal,89,8.24,86,3.80,83,3.65,81,3.59,80,3.97,0,0.00,77,3.71,76,4.86,77,1.35,77,3.83,0.02
D,7,Calafiori,5.6,5.6,Arsenal,68,7.93,66,3.62,67,3.73,69,3.76,67,4.22,0,0.00,64,4.00,63,4.90,65,1.46,64,4.05,0.00
D,8,J.Timber,6.4,6.4,Arsenal,87,9.45,84,4.33,85,4.37,83,4.16,76,4.49,0,0.00,79,4.59,73,5.32,75,1.54,76,4.52,0.59
D,9,Kiwior,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10,Lewis-Skelly,5.1,5.1,Arsenal,3,0.28,4,0.19,6,0.24,7,0.28,9,0.41,0,0.00,10,0.46,9,0.60,11,0.18,10,0.48,0.00
D,11,White,5.1,5.1,Arsenal,12,1.19,17,0.78,17,0.79,21,1.00,24,1.28,0,0.00,21,1.12,21,1.51,23,0.45,24,1.31,0.00
D,12,Zinchenko,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,13,Clarke,3.8,3.8,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,14,Kacurri,3.9,3.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
